"key","fr","en"
"project.end_date","Date de fin","End date"
"project.start_date","Date de début","Start date"
"project.organisme","Partenaire","Partner"
"project.organismes","Partenaire de mise en œuvre (chef de file)","Partner(s)"
"project.financial_datas","Financement","Founding"
"project.budget_ue","UE","UE"
"project.budget_global","Budget global","Global budget"
"project.co-financement","Co-financement(s)","Co-founding"
"project.autres_contributions","Autres contributions","Others contributions"
"project.num_decision","N° de décision","Decision number"
"project.dac_code","Code CAD","CAD code"
"project.thematique","Thématique principale","Main thematic "
"project.tei","TEI (Team Europe Initiative)","TEI (Team Europe Initiative)"
"project.secteur","Secteur(s)","Sector(s)"
"project.geointoTitle","Informations géographiques","Geographical datas"
"project.region","Région(s)","Region(s)"
"project.district","District(s)","District(s)"
"project.commune","Commune(s)","Commune(s)"
"project.reference_opsys","Référence projet Opsys","Opsys reference"
"project.priorite_com","Priorité de communication","Communication priority"
"project.situation_inprogress","en cours","in progress"
"project.situation_closed","cloturé (terminé depuis moins de 12 mois)","closed (ended since less 12 months)"
"project.situation_archived","archivé (terminé depuis plus de 12 mois)","archived (ended since more 12 months)"
"project.situation_upcoming","prévu","coming"
"searchproject.pageTitle","Recherche d'interventions","Interventions search"
"searchproject.search.buttonLabel","Rechercher","Search"
"searchproject.search.results","Résultat(s)","Result(s)"
"map.title","Carte des interventions","Interventions map"
"map.subtitle","Cartographie des interventions de la Délégation de l'Union européenne à Madagascar","Madagascar European Union Interventions map"
"map.viewmaplabel","Voir la carte","Watch map"
"map.legendtitle","Légende","Legend"
"map.project.Button","Détails","Detail"
"map.ptRemarkable.Button","Détails","Detail"
"organizations.title","Partenaires","Partners"
"organizations.subtitle","Acteurs & partenaires de la Délégation de l'Union européenne à Madagascar","Madagascar European Union Partners"
"organizations.description","Page principale des partenaires","Main page of partners"
"organizations.entities.selector","Choix du type de partenaire","Partners type choice"
"organizations.search.mainLabel","Recherche d'un partenaire","Partner search"
"organizations.search.organizationName","Nom du partenaire","Partner name"
"organizations.search.buttonLabel","Rechercher","Search"
"organizations.list","Liste des organismes","Organizations list"
"organizations.list.expand","Développer","expand"
"organizations.list.detail","Détail","detail"
"organizations.list.pagePrevious","Précédent(s)","Previous"
"organizations.list.pageNext","Suivant(s)","Next"
"organization.nom","Organisme","Organization"
"organization.type_entite","Type d'organisme","Organization type"
"organization.contact_mail","Contact e-mail","E-mail contact"
"organization.pays","Pays","Country"
"organization.region","Région","Region"
"organization.ville","Ville","City"
"organization.addresse","Adresse","Adress"
"organization.website","Site internet","website"
"organization.facebook","Facebook","Facebook"
"organization.youtube","Youtube","Youtube"
"organization.instagram","Instagram","Instagram"
"organization.twitter","Twitter","Twitter"
"organization.linkedin","Linkedin","Linkedin"
"publications.title","Actualités","News"
"publications.subtitle","Actualités de la Délégation de l'Union européenne à Madagascar","Madagascar European Union News"
"publications.paginationLabel","Actualités","News"
"publications.pagePrevious","Précédente(s)","Previous"
"publications.pageNext","Suivante(s)","Next"
"publications.pubPrevious","Précédente","Previous"
"publications.pubNext","Suivante","Next"
"publications.viewButton","Lire l'article","Read new"
"publications.associedPDF","Pour en savoir plus :","To know more, read associed news PDF"
"dashboard.labelsTitle.Odd","ODD","ODD"
"dashboard.labelsTitle.Tei","TEI","TEI"
"dashboard.labelsTitle.Global_gateway","Global Gateway","Global Gateway"
"dashboard.labelsTitle.dacCode","Code DAC","DAC code"
"dashboard.label.thematicBudget","Part du budget de la thématique par rapport à l'engagement total en cours de l'UE à Madagascar","of total delegation budget"
"dashboard.label.BudgetUEUnit","EUR","EUR"
"dashboard.label.ProjectFoundingUE","(contribution de l'UE à l'intervention).","(UE founding for this project)"
"dashboard.label.globalUEBudget","du budget global de la Délégation.","of global UE budget"
"dashboard.label.thematicBudgetLabel","Montant global de la thématique*","Global budget*"
"dashboard.label.thematicBudgetLabel2","*Montant du financement de l'UE des interventions en cours et cloturées depuis moins de 12 mois","*Budget from UE for in progress & closed (less than 12 months) interventions"
"dashboard.label.thematicNbrProjects","Nombre d'interventions","Interventions number"
"dashboard.label.thematicFilesTitle","Document(s) clé(s)","Key document(s)"
"dashboard.label.projectFilesTitle","Document(s) clé(s)","Key document(s)"
"widget.Dashboard.widgetTitle","Indicateurs","Key figures"
"widget.Dashboard.slide1.data1Title","Montant total de l'engagement actuel de l'Union européenne à Madagascar","Total current commitment"
"widget.Dashboard.slide1.data1Unit","EUR","EUR"
"widget.Dashboard.slide1.data2Title","Nombre d'interventions en cours","Number of interventions in progress"
"widget.Dashboard.slide1.data2Unit","interventions","interventions"
"widget.Dashboard.slide2.data1Title","Répartition de l'engagement total de l'UE par thématique","Breakdown of total commitments by sector"
"widget.Dashboard.slide2.data1Legend",,
"widget.Dashboard.slide3.data1Title","Engagement actuel de la Team Europe à Madagascar","Valuation of Member States' share of co-financing for ongoing operations"
"widget.Dashboard.slide3.data1Data",999999999,999999999
"widget.Dashboard.slide3.data1Unit","EUR","EUR"
"widget.Dashboard.slide3.data2Title","Montant global de l'aide des Etats Membres à Madagascar","Total aid to Madagascar from Member States"
"widget.Dashboard.slide3.data2Data",999999999,999999999
"widget.Dashboard.slide3.data2Unit","EUR","EUR"
"widget.Dashboard.slide4.data1Title","Nombre des interventions régionales touchant Madagascar","Number of regional operations involving Madagascar"
"widget.Dashboard.slide4.data1Data",999999999,999999999
"widget.Dashboard.slide4.data1Unit","EUR","EUR"
"widget.Dashboard.slide4.data2Title","Montant consolidé de ces projets (uniquement les parts attribuées à Madagascar)","Consolidated amount of these projects (only shares allocated to Madagascar)"
"widget.Dashboard.slide4.data2Data",999999999,999999999
"widget.Dashboard.slide4.data2Unit","EUR","EUR"
"strategies.paginationLabel","Documents stratégiques","Documents stratégiques"
